Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,5/6/2016,236001,78,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,Villa 40/RCA Records,0.666,0.83,0,-5.715,1,0.0751,0.0123,0,0.191,0.702,113.03,4
spotify:track:2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift;Brendon Urie;Panic! At The Disco,8/23/2019,193000,73,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,emo,Taylor Swift,0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,4
spotify:track:1jOBlsvKhdqjZAlUAia4Qz,Lie Lie Lie,Lie Lie Lie,Joshua Bassett,1/14/2021,176691,48,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T21:22:38Z,,Warner Records,0.617,0.835,7,-3.573,1,0.0923,0.00503,0,0.0793,0.835,101.005,4
spotify:track:2erg7Xduc8OHhkLepV4eER,Book Of Love (feat. Polina),I,Felix Jaehn;POLINA,2/16/2018,198438,52,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,tropical house,Intercord,0.667,0.838,9,-4.829,0,0.0283,0.152,0.00884,0.263,0.445,125.033,4
spotify:track:6iC7vapdKp0XlKhxOkp8QJ,BOOM,BOOM,Tiësto;Sevenn;Gucci Mane,1/26/2018,179512,64,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,"edm,trance,big room,house,brazilian bass,southern hip hop,rap,trap","Universal Music, a division of Universal International Music BV",0.886,0.84,2,-3.386,1,0.0502,0.0164,0.00622,0.329,0.203,123.035,4
spotify:track:4ZnkygoWLzcGbQYCm3lkae,Rush,Something To Give Each Other,Troye Sivan,10/13/2023,156391,80,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,,EMI Recorded Music Australia Pty Ltd,0.728,0.841,10,-7.682,0,0.0567,0.00242,0.0000909,0.106,0.402,125.991,4
spotify:track:5pNFibJLq7dvoDVIIcQBkn,Hot In It (feat. Charli XCX),DRIVE,Tiësto;Charli xcx,4/21/2023,129817,66,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,"edm,trance,big room,house,hyperpop,art pop",Atlantic Records,0.748,0.841,7,-5.08,1,0.177,0.00445,0.00000133,0.0413,0.717,123.045,4
spotify:track:5XX9oGZfgKMXdHnEp4t2JB,Money On My Mind,In The Lonely Hour,Sam Smith,5/26/2014,192670,67,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,soft pop,PLG - Capitol,0.67,0.841,2,-5.217,1,0.18,0.204,0.000294,0.229,0.742,133.918,4
spotify:track:2aOlxywgl4nCD4Xh2mLWM7,Spaceship (feat. Uffie),Spaceship (feat. Uffie),Galantis;Uffie,5/17/2018,167079,39,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,electroclash,Big Beat Records,0.518,0.842,10,-1.816,1,0.0828,0.322,0,0.101,0.375,125.854,4
spotify:track:3AzjcOeAmA57TIOr9zF1ZW,Physical,Future Nostalgia,Dua Lipa,3/27/2020,193829,78,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,pop,Warner Records,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,4
spotify:track:0LGXowrh7CSxvzHL2SEtv3,Need U (100%) - Radio Edit,Club House,Duke Dumont;A*M*E,4/23/2021,174121,29,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,house,UME - Global Clearing House,0.67,0.848,0,-5.103,0,0.0538,0.00172,0.00168,0.385,0.457,124.031,4
spotify:track:76HKOVWqsEg26SECtmw7Rz,The Way You Make Me Feel - 2012 Remaster,Bad (Remastered),Michael Jackson,8/31/1987,298121,80,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-21T21:34:38Z,,Epic/Legacy,0.877,0.854,1,-4.523,1,0.147,0.0544,0.000055,0.144,0.54,114.472,4
spotify:track:6YUTL4dYpB9xZO5qExPf05,Summer,Motion,Calvin Harris,10/31/2014,222533,86,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:27:41Z,edm,Columbia,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4
