Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2Gs0iF27my40p0dANv2rAg,MONTAGEM XONADA,MONTAGEM XONADA,MXZI;Dj Samir;DJ Javi26,7/2/2025,75682,85,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:19:35Z,"phonk,brazilian phonk,funk",Lunar Media,0.524,0.971,6,-1.945,0,0.0504,0.0685,0,0.157,0.718,130.095,4
spotify:track:3K4HG9evC7dg3N0R9cYqk4,One Step Closer,Hybrid Theory (Bonus Edition),Linkin Park,10/24/2000,157333,85,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.492,0.969,9,-4.419,1,0.0491,0.0014,0.00000132,0.0787,0.538,95.136,4
spotify:track:3K4HG9evC7dg3N0R9cYqk4,One Step Closer,Hybrid Theory (Bonus Edition),Linkin Park,10/24/2000,157333,85,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.492,0.969,9,-4.419,1,0.0491,0.0014,0.00000132,0.0787,0.538,95.136,4
spotify:track:2TNPagu8Z4zvDOpmnktF00,Warrior,Asylum (Deluxe Edition),Disturbed,8/27/2010,204826,62,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"metal,nu metal,alternative metal,rap metal,hard rock",Reprise,0.549,0.969,1,-2.763,1,0.049,0.0000116,0.106,0.104,0.348,101.055,4
spotify:track:07FAdrbSQLDvN5W6R6WUVD,The Vengeful One,Immortalized,Disturbed,8/14/2015,252002,36,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"metal,nu metal,alternative metal,rap metal,hard rock",Reprise,0.238,0.967,4,-2.602,0,0.136,0.000213,0.00000118,0.26,0.58,170.128,4
spotify:track:42ZVk59gT4tMlrZmd8Ijxf,Indestructible,Indestructible (Deluxe Edition),Disturbed,4/29/2008,278026,70,FALSE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"metal,nu metal,alternative metal,rap metal,hard rock",Reprise,0.429,0.966,8,-4.605,1,0.0733,0.000209,0.124,0.371,0.525,179.956,4
spotify:track:1wsRitfRRtWyEapl0q22o8,Guerrilla Radio,The Battle Of Los Angeles,Rage Against The Machine,11/2/1999,206200,72,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,"rap metal,rap rock,alternative metal,nu metal",Epic,0.599,0.957,11,-5.764,1,0.188,0.0129,0.0000706,0.155,0.489,103.68,4
spotify:track:2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,The Blueprint 3,JAŸ-Z;Alicia Keys,9/8/2009,276920,86,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"hip hop,east coast hip hop,rap,r&b,neo soul",Roc Nation / Jay-Z,0.491,0.956,11,-1.538,1,0.392,0.0295,0,0.46,0.811,173.585,4
spotify:track:78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,Boss Bitch,Doja Cat,1/23/2020,134239,75,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-22T12:24:58Z,,Atlantic Records,0.707,0.955,10,-4.593,0,0.222,0.127,0,0.202,0.575,125.989,4
spotify:track:7Ie9W94M7OjPoZVV216Xus,Not Afraid,Recovery,Eminem,6/18/2010,248133,81,TRUE,31vxrip5qtkqm6o6uvq567xlect4,2026-03-20T06:34:25Z,"rap,hip hop",Eminem Catalog PS,0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,114.635,5
